EntryID	OrganismName	Kingdom	SequenceLength	HelixDomain
Q99417	Homo sapiens	Metazoa	103	False
Q9ULZ2	Homo sapiens	Metazoa	295	False
O60829	Homo sapiens	Metazoa	102	False
Q9BQ95	Homo sapiens	Metazoa	431	False
P41252	Homo sapiens	Metazoa	1262	False
Q01064	Homo sapiens	Metazoa	536	False
Q0IIM8	Homo sapiens	Metazoa	1120	False
Q0VDF9	Homo sapiens	Metazoa	509	False
Q5VWZ2	Homo sapiens	Metazoa	237	False
Q7L5D6	Homo sapiens	Metazoa	327	False
Q8IWV7	Homo sapiens	Metazoa	1749	False
Q93015	Homo sapiens	Metazoa	286	False
Q969F9	Homo sapiens	Metazoa	1004	False
Q9NRN7	Homo sapiens	Metazoa	309	False
Q9ULE6	Homo sapiens	Metazoa	856	False
Q9Y4U1	Homo sapiens	Metazoa	282	False
Q9NWT8	Homo sapiens	Metazoa	199	False
Q9Y6X9	Homo sapiens	Metazoa	1032	False
Q9Y2S7	Homo sapiens	Metazoa	368	False
O09174	Mus musculus	Metazoa	381	False
P52566	Homo sapiens	Metazoa	201	False
P55786	Homo sapiens	Metazoa	919	False
P62854	Homo sapiens	Metazoa	115	False
Q149M9	Homo sapiens	Metazoa	1564	False
Q6XQN6	Homo sapiens	Metazoa	538	False
Q8NBF2	Homo sapiens	Metazoa	726	False
Q96DG6	Homo sapiens	Metazoa	245	False
Q9UPZ3	Homo sapiens	Metazoa	1129	False
Q9Y3U8	Homo sapiens	Metazoa	105	False
P28328	Homo sapiens	Metazoa	305	False
O00623	Homo sapiens	Metazoa	359	False
O60683	Homo sapiens	Metazoa	326	False
O00463	Homo sapiens	Metazoa	557	False
O43739	Homo sapiens	Metazoa	400	False
O96033	Homo sapiens	Metazoa	88	False
P00966	Homo sapiens	Metazoa	412	False
P46778	Homo sapiens	Metazoa	160	False
P53004	Homo sapiens	Metazoa	296	False
Q6NVU6	Homo sapiens	Metazoa	218	False
Q6PD74	Homo sapiens	Metazoa	315	False
Q8IWZ4	Homo sapiens	Metazoa	224	False
Q8N3V7	Homo sapiens	Metazoa	929	False
Q969X0	Homo sapiens	Metazoa	211	False
Q96MI9	Homo sapiens	Metazoa	1112	False
P50091	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	288	False
A4D126	Homo sapiens	Metazoa	451	False
A6NHX0	Homo sapiens	Metazoa	329	False
P49888	Homo sapiens	Metazoa	294	False
P62942	Homo sapiens	Metazoa	108	False
Q86UK7	Homo sapiens	Metazoa	904	False
Q8TAC2	Homo sapiens	Metazoa	188	False
Q8WYK0	Homo sapiens	Metazoa	555	False
Q9NY33	Homo sapiens	Metazoa	737	False
Q9UQN3	Homo sapiens	Metazoa	213	False
Q9NSK7	Homo sapiens	Metazoa	141	True
O94822	Homo sapiens	Metazoa	1766	False
O96007	Homo sapiens	Metazoa	188	False
P14868	Homo sapiens	Metazoa	501	False
P63220	Homo sapiens	Metazoa	83	False
Q07020	Homo sapiens	Metazoa	188	False
Q14432	Homo sapiens	Metazoa	1141	True
Q15126	Homo sapiens	Metazoa	192	False
Q16773	Homo sapiens	Metazoa	422	False
Q9BRS2	Homo sapiens	Metazoa	568	False
Q9H0F6	Homo sapiens	Metazoa	387	False
Q9H227	Homo sapiens	Metazoa	469	False
Q9H9E3	Homo sapiens	Metazoa	785	False
Q9Y3R4	Homo sapiens	Metazoa	380	False
Q15714	Homo sapiens	Metazoa	1073	False
Q8GW43	Arabidopsis thaliana	Viridiplantae	476	False
Q9FWA3	Arabidopsis thaliana	Viridiplantae	486	False
Q96BY2	Homo sapiens	Metazoa	351	False
O15294	Homo sapiens	Metazoa	1046	False
Q6ZT62	Homo sapiens	Metazoa	677	False
Q86TV6	Homo sapiens	Metazoa	843	False
Q9BYI3	Homo sapiens	Metazoa	521	False
Q9Y4P1	Homo sapiens	Metazoa	393	False
Q8N2Y8	Homo sapiens	Metazoa	1516	False
Q9BZ67	Homo sapiens	Metazoa	464	False
Q969K3	Homo sapiens	Metazoa	372	False
Q96JJ3	Homo sapiens	Metazoa	720	False
Q9NZ09	Homo sapiens	Metazoa	502	False
O95571	Homo sapiens	Metazoa	254	False
Q96LW4	Homo sapiens	Metazoa	560	False
O43808	Homo sapiens	Metazoa	307	False
Q86W56	Homo sapiens	Metazoa	976	False
P46379	Homo sapiens	Metazoa	1132	False
Q96CM3	Homo sapiens	Metazoa	377	False
O43504	Homo sapiens	Metazoa	91	False
Q4ADV7	Homo sapiens	Metazoa	1423	False
Q66K74	Homo sapiens	Metazoa	1059	False
Q92546	Homo sapiens	Metazoa	391	False
Q9NZZ3	Homo sapiens	Metazoa	219	False
Q8TC71	Homo sapiens	Metazoa	538	False
Q14116	Homo sapiens	Metazoa	193	False
Q14154	Homo sapiens	Metazoa	515	False
Q9UH77	Homo sapiens	Metazoa	587	False
A6NK58	Homo sapiens	Metazoa	231	False
O43716	Homo sapiens	Metazoa	136	False
O75127	Homo sapiens	Metazoa	700	False
P83111	Homo sapiens	Metazoa	547	False
P86397	Homo sapiens	Metazoa	168	False
Q14249	Homo sapiens	Metazoa	297	False
Q16540	Homo sapiens	Metazoa	153	False
Q4G0N4	Homo sapiens	Metazoa	442	False
Q5T440	Homo sapiens	Metazoa	356	False
Q68CK6	Homo sapiens	Metazoa	577	False
Q86U28	Homo sapiens	Metazoa	154	False
Q8TB37	Homo sapiens	Metazoa	319	False
Q969P6	Homo sapiens	Metazoa	601	False
Q96HY7	Homo sapiens	Metazoa	919	False
Q96IR7	Homo sapiens	Metazoa	371	False
Q9BVL4	Homo sapiens	Metazoa	669	False
Q9BW91	Homo sapiens	Metazoa	350	False
Q9H0U6	Homo sapiens	Metazoa	180	False
Q9H3J6	Homo sapiens	Metazoa	166	False
Q9H9J2	Homo sapiens	Metazoa	332	False
Q9H9P8	Homo sapiens	Metazoa	463	False
Q9NPB1	Homo sapiens	Metazoa	228	False
Q9Y375	Homo sapiens	Metazoa	327	False
O15091	Homo sapiens	Metazoa	583	False
P24752	Homo sapiens	Metazoa	427	False
Q53R41	Homo sapiens	Metazoa	847	False
Q86TS9	Homo sapiens	Metazoa	123	False
Q86TW2	Homo sapiens	Metazoa	530	False
Q8IVS2	Homo sapiens	Metazoa	390	False
Q8N183	Homo sapiens	Metazoa	169	False
Q96EY7	Homo sapiens	Metazoa	689	False
Q96I23	Homo sapiens	Metazoa	114	False
Q9HBH1	Homo sapiens	Metazoa	243	False
Q9NUQ9	Homo sapiens	Metazoa	324	False
Q9NYK5	Homo sapiens	Metazoa	338	False
Q9P032	Homo sapiens	Metazoa	175	False
O43521	Homo sapiens	Metazoa	198	False
P0C7P0	Homo sapiens	Metazoa	127	False
P32322	Homo sapiens	Metazoa	319	False
P82673	Homo sapiens	Metazoa	323	False
Q13794	Homo sapiens	Metazoa	54	False
Q68DD2	Homo sapiens	Metazoa	849	False
Q6UB28	Homo sapiens	Metazoa	335	False
Q7L3V2	Homo sapiens	Metazoa	364	False
Q7Z7H8	Homo sapiens	Metazoa	261	False
Q8N4E7	Homo sapiens	Metazoa	242	False
Q9BQP7	Homo sapiens	Metazoa	344	False
Q9BSH4	Homo sapiens	Metazoa	297	False
Q9HAC7	Homo sapiens	Metazoa	438	False
Q9NWU5	Homo sapiens	Metazoa	206	False
Q9NZE8	Homo sapiens	Metazoa	188	False
P35790	Homo sapiens	Metazoa	457	False
Q63HN8	Homo sapiens	Metazoa	5207	False
Q9HB07	Homo sapiens	Metazoa	376	False
Q9Y2G0	Homo sapiens	Metazoa	817	False
Q96MT3	Homo sapiens	Metazoa	831	False
Q9NX47	Homo sapiens	Metazoa	278	False
Q9H299	Homo sapiens	Metazoa	93	False
P43897	Homo sapiens	Metazoa	325	False
P59942	Homo sapiens	Metazoa	119	False
Q3SXM5	Homo sapiens	Metazoa	330	False
Q7L5Y1	Homo sapiens	Metazoa	443	False
Q7Z695	Homo sapiens	Metazoa	626	False
Q86YH6	Homo sapiens	Metazoa	399	False
Q8TDB4	Homo sapiens	Metazoa	240	False
Q96DX5	Homo sapiens	Metazoa	294	False
Q96E29	Homo sapiens	Metazoa	417	False
Q96I59	Homo sapiens	Metazoa	477	False
Q96T21	Homo sapiens	Metazoa	854	False
Q9NUJ1	Homo sapiens	Metazoa	306	False
Q9NWQ9	Homo sapiens	Metazoa	140	False
Q9NWS8	Homo sapiens	Metazoa	449	False
Q9UDR5	Homo sapiens	Metazoa	926	False
Q9UII2	Homo sapiens	Metazoa	106	False
Q9Y5Y5	Homo sapiens	Metazoa	336	True
O95433	Homo sapiens	Metazoa	338	False
P35558	Homo sapiens	Metazoa	622	False
Q9NX46	Homo sapiens	Metazoa	363	False
A8MUP2	Homo sapiens	Metazoa	240	False
O00154	Homo sapiens	Metazoa	380	False
P27469	Homo sapiens	Metazoa	103	False
P41247	Homo sapiens	Metazoa	253	False
P49411	Homo sapiens	Metazoa	455	False
P49590	Homo sapiens	Metazoa	506	False
Q14CZ7	Homo sapiens	Metazoa	662	False
Q16774	Homo sapiens	Metazoa	197	False
Q7L592	Homo sapiens	Metazoa	441	False
Q7Z6M4	Homo sapiens	Metazoa	381	False
Q8IVG5	Homo sapiens	Metazoa	1584	False
Q8WVM0	Homo sapiens	Metazoa	346	False
Q96E11	Homo sapiens	Metazoa	262	False
Q9BRJ2	Homo sapiens	Metazoa	306	False
Q9BUE6	Homo sapiens	Metazoa	129	False
Q9H5Q4	Homo sapiens	Metazoa	396	False
Q9HC36	Homo sapiens	Metazoa	420	False
Q9UGC7	Homo sapiens	Metazoa	380	False
Q96HA9	Homo sapiens	Metazoa	241	False
P49802	Homo sapiens	Metazoa	495	False
Q7LDG7	Homo sapiens	Metazoa	609	False
P00973	Homo sapiens	Metazoa	400	False
O43502	Homo sapiens	Metazoa	376	False
O43542	Homo sapiens	Metazoa	346	False
Q12802	Homo sapiens	Metazoa	2813	False
Q8N726	Homo sapiens	Metazoa	132	False
P30047	Homo sapiens	Metazoa	84	False
Q92597	Homo sapiens	Metazoa	394	False
A0JNW5	Homo sapiens	Metazoa	1464	False
Q9BZR8	Homo sapiens	Metazoa	327	False
O15084	Homo sapiens	Metazoa	1053	False
Q9Y244	Homo sapiens	Metazoa	141	False
Q9NPJ1	Homo sapiens	Metazoa	570	False
Q6FI81	Homo sapiens	Metazoa	312	False
Q9C0C7	Homo sapiens	Metazoa	1298	False
Q9NUL7	Homo sapiens	Metazoa	540	False
Q96BM1	Homo sapiens	Metazoa	317	False
Q15650	Homo sapiens	Metazoa	581	False
O14929	Homo sapiens	Metazoa	419	False
Q9BQ52	Homo sapiens	Metazoa	826	False
Q5SYB0	Homo sapiens	Metazoa	1578	False
P33897	Homo sapiens	Metazoa	745	False
Q08116	Homo sapiens	Metazoa	209	False
O94874	Homo sapiens	Metazoa	794	False
Q8IWL3	Homo sapiens	Metazoa	235	False
Q9P2H5	Homo sapiens	Metazoa	1018	False
P30419	Homo sapiens	Metazoa	496	False
P38060	Mus musculus	Metazoa	325	False
Q969Y2	Homo sapiens	Metazoa	492	False
Q9NVV4	Homo sapiens	Metazoa	582	False
Q9Y5Z4	Homo sapiens	Metazoa	205	False
Q63ZY3	Homo sapiens	Metazoa	851	False
Q7Z4T9	Homo sapiens	Metazoa	767	False
Q92552	Homo sapiens	Metazoa	414	False
Q9H3L0	Homo sapiens	Metazoa	296	False
Q9H1P3	Homo sapiens	Metazoa	480	False
P61221	Homo sapiens	Metazoa	599	False
Q86U90	Homo sapiens	Metazoa	279	False
Q8IVH4	Homo sapiens	Metazoa	418	False
Q8IVS8	Homo sapiens	Metazoa	523	False
Q9H8K7	Homo sapiens	Metazoa	445	False
O95900	Homo sapiens	Metazoa	331	False
P10109	Homo sapiens	Metazoa	184	False
Q9BVS5	Homo sapiens	Metazoa	477	False
Q9BWL3	Homo sapiens	Metazoa	253	True
P29372	Homo sapiens	Metazoa	298	False
P00480	Homo sapiens	Metazoa	354	False
P61604	Homo sapiens	Metazoa	102	False
Q15120	Homo sapiens	Metazoa	406	False
Q3KRB8	Homo sapiens	Metazoa	267	False
Q6IN84	Homo sapiens	Metazoa	353	False
Q96JX3	Homo sapiens	Metazoa	654	True
Q96RQ3	Homo sapiens	Metazoa	725	False
Q9HCC0	Homo sapiens	Metazoa	563	False
Q9UGM6	Homo sapiens	Metazoa	360	False
Q5JPH6	Homo sapiens	Metazoa	523	False
Q6L8Q7	Homo sapiens	Metazoa	609	False
Q6P087	Homo sapiens	Metazoa	351	False
Q969Z0	Homo sapiens	Metazoa	631	False
Q96EH3	Homo sapiens	Metazoa	234	False
Q9P0P8	Homo sapiens	Metazoa	240	False
Q9Y3B8	Homo sapiens	Metazoa	237	False
P49662	Homo sapiens	Metazoa	377	False
Q9Y3E7	Homo sapiens	Metazoa	222	False
Q53H82	Homo sapiens	Metazoa	288	False
Q8NFV4	Homo sapiens	Metazoa	306	False
Q8NI37	Homo sapiens	Metazoa	304	False
Q96GJ1	Homo sapiens	Metazoa	504	False
Q9H649	Homo sapiens	Metazoa	340	False
Q9XF57	Arabidopsis thaliana	Viridiplantae	317	False
Q8IXH6	Homo sapiens	Metazoa	220	False
Q71RC2	Homo sapiens	Metazoa	724	False
A6NJ78	Homo sapiens	Metazoa	407	False
L0R8F8	Homo sapiens	Metazoa	70	False
P30038	Homo sapiens	Metazoa	563	False
Q5U5X0	Homo sapiens	Metazoa	104	False
Q86VP3	Homo sapiens	Metazoa	889	False
Q8WWC4	Homo sapiens	Metazoa	291	False
Q9BPW8	Homo sapiens	Metazoa	284	False
Q9Y2Z4	Homo sapiens	Metazoa	477	False
Q7Z412	Homo sapiens	Metazoa	305	False
Q15751	Homo sapiens	Metazoa	4861	False
Q9P2N6	Homo sapiens	Metazoa	904	False
Q12768	Homo sapiens	Metazoa	1159	False
Q9Y224	Homo sapiens	Metazoa	244	False
P25705	Homo sapiens	Metazoa	553	False
Q5VW36	Homo sapiens	Metazoa	1801	False
Q96TA1	Homo sapiens	Metazoa	746	False
Q8K2C6	Mus musculus	Metazoa	310	False
Q921N8	Mus musculus	Metazoa	327	False
O60216	Homo sapiens	Metazoa	631	False
Q9NUQ2	Homo sapiens	Metazoa	364	True
Q8C624	Mus musculus	Metazoa	132	False
Q13057	Homo sapiens	Metazoa	564	False
Q96M32	Homo sapiens	Metazoa	723	False
Q9P212	Homo sapiens	Metazoa	2302	False
O94972	Homo sapiens	Metazoa	964	False
P22033	Homo sapiens	Metazoa	750	False
Q16775	Homo sapiens	Metazoa	308	False
Q8TF40	Homo sapiens	Metazoa	1166	False
Q13049	Homo sapiens	Metazoa	653	False
Q8IXQ9	Homo sapiens	Metazoa	262	False
Q8NFF5	Homo sapiens	Metazoa	587	False
P17987	Homo sapiens	Metazoa	556	False
Q9Y6N9	Homo sapiens	Metazoa	552	False
Q9Y237	Homo sapiens	Metazoa	131	False
Q14693	Homo sapiens	Metazoa	890	False
Q9H444	Homo sapiens	Metazoa	224	False
Q53GL0	Homo sapiens	Metazoa	409	False
Q2TAL8	Homo sapiens	Metazoa	776	False
Q9P2G3	Homo sapiens	Metazoa	628	False
O43715	Homo sapiens	Metazoa	76	False
Q96BR5	Homo sapiens	Metazoa	231	False
Q86WV1	Homo sapiens	Metazoa	359	False
Q8WXX5	Homo sapiens	Metazoa	260	False
O00198	Homo sapiens	Metazoa	91	True
Q8N4Q1	Homo sapiens	Metazoa	142	False
Q8WYQ3	Homo sapiens	Metazoa	142	False
Q9H078	Homo sapiens	Metazoa	707	False
Q9FFF4	Arabidopsis thaliana	Viridiplantae	477	False
Q96T49	Homo sapiens	Metazoa	567	False
P21359	Homo sapiens	Metazoa	2839	False
Q13277	Homo sapiens	Metazoa	289	False
Q96ST8	Homo sapiens	Metazoa	783	False
Q9UPI3	Homo sapiens	Metazoa	526	False
Q9UP83	Homo sapiens	Metazoa	860	False
Q92574	Homo sapiens	Metazoa	1164	False
Q9HC21	Homo sapiens	Metazoa	320	False
Q9NRY6	Homo sapiens	Metazoa	295	False
Q9NUM3	Homo sapiens	Metazoa	307	True
P27815	Homo sapiens	Metazoa	886	False
P49815	Homo sapiens	Metazoa	1807	False
P53184	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	216	False
Q9URQ3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	322	False
Q6P4H8	Homo sapiens	Metazoa	233	True
P56378	Homo sapiens	Metazoa	58	True
Q8WV93	Homo sapiens	Metazoa	481	False
Q96A26	Homo sapiens	Metazoa	154	False
Q9P0N9	Homo sapiens	Metazoa	293	False
Q5T890	Homo sapiens	Metazoa	1550	False
Q9BPZ7	Homo sapiens	Metazoa	522	False
Q7L8L6	Homo sapiens	Metazoa	764	False
O94830	Homo sapiens	Metazoa	711	False
Q9BRT2	Homo sapiens	Metazoa	126	False
Q9NVH0	Homo sapiens	Metazoa	621	True
Q15080	Homo sapiens	Metazoa	339	False
Q7L0Y3	Homo sapiens	Metazoa	403	False
Q96QE5	Homo sapiens	Metazoa	360	False
Q9NYY8	Homo sapiens	Metazoa	710	False
Q7Z7H3	Homo sapiens	Metazoa	387	False
Q8ND76	Homo sapiens	Metazoa	341	False
Q9HB21	Homo sapiens	Metazoa	404	False
Q9Y228	Homo sapiens	Metazoa	551	False
A1A519	Homo sapiens	Metazoa	330	False
A6H8Y1	Homo sapiens	Metazoa	2624	False
O00712	Homo sapiens	Metazoa	420	False
O14497	Homo sapiens	Metazoa	2285	False
O43172	Homo sapiens	Metazoa	522	False
O60284	Homo sapiens	Metazoa	1047	False
O60381	Homo sapiens	Metazoa	514	False
O75475	Homo sapiens	Metazoa	530	False
O77932	Homo sapiens	Metazoa	396	False
P06454	Homo sapiens	Metazoa	111	False
P07910	Homo sapiens	Metazoa	306	False
P16455	Homo sapiens	Metazoa	207	False
P21675	Homo sapiens	Metazoa	1893	False
P24278	Homo sapiens	Metazoa	435	False
P29084	Homo sapiens	Metazoa	291	False
P30307	Homo sapiens	Metazoa	473	False
P35637	Homo sapiens	Metazoa	526	False
P51946	Homo sapiens	Metazoa	323	False
P51959	Homo sapiens	Metazoa	295	False
P52739	Homo sapiens	Metazoa	623	False
P83876	Homo sapiens	Metazoa	142	False
Q10571	Homo sapiens	Metazoa	1320	False
Q12996	Homo sapiens	Metazoa	717	False
Q13573	Homo sapiens	Metazoa	536	False
Q14686	Homo sapiens	Metazoa	2063	False
Q15543	Homo sapiens	Metazoa	124	False
Q15744	Homo sapiens	Metazoa	281	False
Q16514	Homo sapiens	Metazoa	161	False
Q16533	Homo sapiens	Metazoa	368	False
Q29RF7	Homo sapiens	Metazoa	1337	False
Q2TAK8	Homo sapiens	Metazoa	710	False
Q5THR3	Homo sapiens	Metazoa	1501	False
Q5XKL5	Homo sapiens	Metazoa	1792	False
Q69YH5	Homo sapiens	Metazoa	1023	False
Q6P4R8	Homo sapiens	Metazoa	1299	False
Q6ZMT4	Homo sapiens	Metazoa	941	False
Q71SY5	Homo sapiens	Metazoa	747	False
Q7Z4V0	Homo sapiens	Metazoa	828	False
Q7Z591	Homo sapiens	Metazoa	1439	False
Q86YA3	Homo sapiens	Metazoa	2104	False
Q8N5P1	Homo sapiens	Metazoa	291	False
Q8NBZ0	Homo sapiens	Metazoa	244	False
Q8NEM7	Homo sapiens	Metazoa	779	False
Q8NEZ4	Homo sapiens	Metazoa	4911	False
Q8NFT6	Homo sapiens	Metazoa	615	False
Q8TBK2	Homo sapiens	Metazoa	473	False
Q8TDR4	Homo sapiens	Metazoa	215	False
Q8TEC5	Homo sapiens	Metazoa	729	False
Q8WW12	Homo sapiens	Metazoa	178	False
Q969F1	Homo sapiens	Metazoa	213	False
Q969L4	Homo sapiens	Metazoa	123	False
Q96K80	Homo sapiens	Metazoa	434	False
Q96RL1	Homo sapiens	Metazoa	719	False
Q9BQ69	Homo sapiens	Metazoa	325	False
Q9BTP7	Homo sapiens	Metazoa	215	False
Q9BW66	Homo sapiens	Metazoa	212	False
Q9BXW9	Homo sapiens	Metazoa	1451	False
Q9H0E3	Homo sapiens	Metazoa	1048	False
Q9H334	Homo sapiens	Metazoa	677	False
Q9H5I1	Homo sapiens	Metazoa	410	False
Q9H8M7	Homo sapiens	Metazoa	445	False
Q9HAW4	Homo sapiens	Metazoa	1339	False
Q9NP71	Homo sapiens	Metazoa	852	False
Q9NQ33	Homo sapiens	Metazoa	181	False
Q9NS37	Homo sapiens	Metazoa	354	False
Q9NVR2	Homo sapiens	Metazoa	710	False
Q9NYP3	Homo sapiens	Metazoa	566	False
Q9NZ81	Homo sapiens	Metazoa	148	False
Q9NZM4	Homo sapiens	Metazoa	1560	False
Q9P0K7	Homo sapiens	Metazoa	980	False
Q9P2Y4	Homo sapiens	Metazoa	722	False
Q9UGU0	Homo sapiens	Metazoa	1960	False
Q9UHQ1	Homo sapiens	Metazoa	456	False
Q9UJW9	Homo sapiens	Metazoa	196	False
Q9ULX3	Homo sapiens	Metazoa	412	False
Q9UM63	Homo sapiens	Metazoa	463	False
Q9UMN6	Homo sapiens	Metazoa	2715	False
Q9Y222	Homo sapiens	Metazoa	760	False
Q9Y2M0	Homo sapiens	Metazoa	1017	False
Q9Y388	Homo sapiens	Metazoa	322	False
Q9HCC9	Homo sapiens	Metazoa	887	False
Q3ZCQ8	Homo sapiens	Metazoa	353	True
Q96LW7	Homo sapiens	Metazoa	228	False
O14776	Homo sapiens	Metazoa	1098	False
O15514	Homo sapiens	Metazoa	142	False
O75586	Homo sapiens	Metazoa	246	False
O75937	Homo sapiens	Metazoa	253	False
O94913	Homo sapiens	Metazoa	1555	False
P05423	Homo sapiens	Metazoa	398	False
P12524	Homo sapiens	Metazoa	364	False
P39880	Homo sapiens	Metazoa	1505	False
P42695	Homo sapiens	Metazoa	1498	False
P52435	Homo sapiens	Metazoa	117	False
P52756	Homo sapiens	Metazoa	815	False
P53803	Homo sapiens	Metazoa	58	False
P55197	Homo sapiens	Metazoa	1068	False
P57071	Homo sapiens	Metazoa	1141	False
P60896	Homo sapiens	Metazoa	70	False
P62875	Homo sapiens	Metazoa	67	False
P84090	Homo sapiens	Metazoa	104	False
Q01664	Homo sapiens	Metazoa	338	False
Q03111	Homo sapiens	Metazoa	559	False
Q04724	Homo sapiens	Metazoa	770	False
Q0VG06	Homo sapiens	Metazoa	881	False
Q13029	Homo sapiens	Metazoa	1718	False
Q13569	Homo sapiens	Metazoa	410	False
Q13888	Homo sapiens	Metazoa	395	False
Q14CB8	Homo sapiens	Metazoa	494	False
Q15560	Homo sapiens	Metazoa	299	False
Q15843	Homo sapiens	Metazoa	81	False
Q16385	Homo sapiens	Metazoa	188	False
Q2M1K9	Homo sapiens	Metazoa	1284	False
Q32MQ0	Homo sapiens	Metazoa	723	False
Q58WW2	Homo sapiens	Metazoa	860	False
Q6PJ21	Homo sapiens	Metazoa	355	False
Q6UN15	Homo sapiens	Metazoa	594	False
Q6UXN9	Homo sapiens	Metazoa	313	False
Q6VMQ6	Homo sapiens	Metazoa	1270	False
Q7Z2Z1	Homo sapiens	Metazoa	1910	False
Q8IU81	Homo sapiens	Metazoa	584	False
Q8N100	Homo sapiens	Metazoa	152	False
Q8NF64	Homo sapiens	Metazoa	920	False
Q8WWL7	Homo sapiens	Metazoa	1395	False
Q8WWY6	Homo sapiens	Metazoa	194	False
Q8WXX7	Homo sapiens	Metazoa	1259	False
Q93034	Homo sapiens	Metazoa	780	False
Q96CB8	Homo sapiens	Metazoa	462	False
Q96E14	Homo sapiens	Metazoa	147	False
Q96JM7	Homo sapiens	Metazoa	780	False
Q96NC0	Homo sapiens	Metazoa	199	False
Q96QE3	Homo sapiens	Metazoa	1844	False
Q96SD1	Homo sapiens	Metazoa	692	False
Q96T23	Homo sapiens	Metazoa	1441	False
Q99590	Homo sapiens	Metazoa	1463	False
Q99638	Homo sapiens	Metazoa	391	False
Q99728	Homo sapiens	Metazoa	777	False
Q9BQ83	Homo sapiens	Metazoa	275	False
Q9BT43	Homo sapiens	Metazoa	218	False
Q9BUI4	Homo sapiens	Metazoa	534	False
Q9BV86	Homo sapiens	Metazoa	223	False
Q9BWW7	Homo sapiens	Metazoa	348	False
Q9BWX1	Homo sapiens	Metazoa	381	False
Q9GZN2	Homo sapiens	Metazoa	237	False
Q9H7L9	Homo sapiens	Metazoa	328	False
